Geography,geoid10,Geographic Area Name,med_hh_inc,dollars
1400000US17031071200,17031071200,"Census Tract 712, Cook County, Illinois",132000,"$132,000"
1400000US17031071300,17031071300,"Census Tract 713, Cook County, Illinois",101848,"$101,848"
1400000US17031071400,17031071400,"Census Tract 714, Cook County, Illinois",109174,"$109,174"
1400000US17031071500,17031071500,"Census Tract 715, Cook County, Illinois",101594,"$101,594"
1400000US17031071600,17031071600,"Census Tract 716, Cook County, Illinois",166875,"$166,875"
1400000US17031071700,17031071700,"Census Tract 717, Cook County, Illinois",146875,"$146,875"
1400000US17031071800,17031071800,"Census Tract 718, Cook County, Illinois",192102,"$192,102"
1400000US17031080100,17031080100,"Census Tract 801, Cook County, Illinois",114375,"$114,375"
1400000US17031080201,17031080201,"Census Tract 802.01, Cook County, Illinois",120203,"$120,203"
1400000US17031080202,17031080202,"Census Tract 802.02, Cook County, Illinois",98897,"$98,897"
1400000US17031080300,17031080300,"Census Tract 803, Cook County, Illinois",145759,"$145,759"
1400000US17031080400,17031080400,"Census Tract 804, Cook County, Illinois",-,-
1400000US17031081000,17031081000,"Census Tract 810, Cook County, Illinois",76369,"$76,369"
1400000US17031081100,17031081100,"Census Tract 811, Cook County, Illinois",83763,"$83,763"
1400000US17031081201,17031081201,"Census Tract 812.01, Cook County, Illinois",122212,"$122,212"
1400000US17031081202,17031081202,"Census Tract 812.02, Cook County, Illinois",174151,"$174,151"
1400000US17031081300,17031081300,"Census Tract 813, Cook County, Illinois",107841,"$107,841"
1400000US17031081401,17031081401,"Census Tract 814.01, Cook County, Illinois",75278,"$75,278"
1400000US17031081402,17031081402,"Census Tract 814.02, Cook County, Illinois",126910,"$126,910"
1400000US17031081403,17031081403,"Census Tract 814.03, Cook County, Illinois",104447,"$104,447"
1400000US17031081500,17031081500,"Census Tract 815, Cook County, Illinois",131579,"$131,579"
1400000US17031081600,17031081600,"Census Tract 816, Cook County, Illinois",126705,"$126,705"
