item,date,p_mean,p_75,p_median,p_25,iqr,ratio
Top 10 Fiction paperpack,2016-05-01,6.783641,7.99,7.99,4.495,3.495,1.77753059
Home office desk,2016-06-01,339.3907,364,199,69.99,294.01,5.200742963
Top 10 Fiction paperpack,2016-06-01,6.633645,7.99,7.99,4,3.99,1.9975
Home office desk,2016-07-01,328.3521,363.5,199,49.99,313.51,7.271454291
Top 10 Fiction paperpack,2016-07-01,6.396419,7.99,7.99,4,3.99,1.9975
Home office desk,2016-08-01,367.5715,499,249.995,72.495,426.505,6.883233326
Top 10 Fiction paperpack,2016-08-01,6.436,7.99,7.99,4,3.99,1.9975
Home office desk,2016-09-01,420.2371,499,250,115,384,4.339130435
Top 10 Fiction paperpack,2016-09-01,6.438241,7.99,7.99,4,3.99,1.9975
Home office desk,2016-10-01,342.9971,419.75,185.7,79.99,339.76,5.247530941
Top 10 Fiction paperpack,2016-10-01,6.437788,7.99,7.99,4,3.99,1.9975
Home office desk,2016-11-01,343.8862,415,150,75,340,5.533333333
Top 10 Fiction paperpack,2016-11-01,6.495833,7.99,7.99,4,3.99,1.9975
Home office desk,2016-12-01,367.4344,459,150,65,394,7.061538462
Top 10 Fiction paperpack,2016-12-01,6.488991,7.99,7.99,4,3.99,1.9975
Home office desk,2017-01-01,339.3641,352.8,248.25,79.99,272.81,4.410551319
Top 10 Fiction paperpack,2017-01-01,6.605314,7.99,7.99,4,3.99,1.9975
Home office desk,2017-02-01,341.1512,389.375,245,71.99,317.385,5.408737325
Top 10 Fiction paperpack,2017-02-01,6.607729,7.99,7.99,4,3.99,1.9975
Home office desk,2017-03-01,368.2133,359,250,79.99,279.01,4.488061008
Top 10 Fiction paperpack,2017-03-01,6.524673,7.99,7.99,4,3.99,1.9975
Home office desk,2017-04-01,354.437,499,260.1,75.99,423.01,6.566653507
Top 10 Fiction paperpack,2017-04-01,6.533116,7.99,7.99,4,3.99,1.9975
Home office desk,2017-05-01,359.8889,463.47,254.5,89.99,373.48,5.150238915
Top 10 Fiction paperpack,2017-05-01,6.506286,7.99,7.99,4,3.99,1.9975
Home office desk,2017-06-01,371.248,480,259,89.99,390.01,5.333925992
Top 10 Fiction paperpack,2017-06-01,6.623619,7.99,7.99,4,3.99,1.9975
Home office desk,2017-07-01,326.6815,446.94,253.25,89.99,356.95,4.966551839
Top 10 Fiction paperpack,2017-07-01,6.56033,7.99,7.99,4,3.99,1.9975
Home office desk,2017-08-01,341.2795,449,275,89.99,359.01,4.989443271
Top 10 Fiction paperpack,2017-08-01,6.511659,7.99,7.99,4,3.99,1.9975
Home office desk,2017-09-01,369.7777,480,275,89.99,390.01,5.333925992
