date, value
01/06/1997,2677.92
01/07/1997,2956.52
01/08/1997,2938.13
01/09/1997,3113.47
01/10/1997,2935.43
01/11/1997,2949.81
01/12/1997,2898.87
01/01/1998,2982.86
01/02/1998,3255.97
01/03/1998,3368.47
01/04/1998,3422.93
01/05/1998,3253.55
01/06/1998,3459.8
01/07/1998,3415.24
01/08/1998,2731.63
01/09/1998,3082.79
01/10/1998,3215.07
01/11/1998,3538.42
01/12/1998,3981.93
01/01/1999,4540.67
01/02/1999,4141.33
01/03/1999,4440.37
01/04/1999,4554.26
01/05/1999,4424.7
01/06/1999,4810.84
01/07/1999,4712.34
01/08/1999,4881.52
01/09/1999,4868.94
01/10/1999,5250.58
01/11/1999,5901.67
01/12/1999,7198.61
01/01/2000,6950.78
01/02/2000,8233.3
01/03/2000,7952.15
01/04/2000,6709.83
01/05/2000,5903.98
01/06/2000,6849.47
01/07/2000,6490.52
01/08/2000,7247.54
01/09/2000,6295.21
01/10/2000,5765.44
01/11/2000,4442.46
01/12/2000,4227.06
01/01/2001,4713.64
01/02/2001,3643.05
01/03/2001,3110.04
01/04/2001,3561.63
01/05/2001,3535.07
01/06/2001,3614.58
01/07/2001,3399.5
01/08/2001,3027.71
01/09/2001,2503
01/10/2001,2831.09
01/11/2001,3239.51
01/12/2001,3286.42
01/01/2002,3251.1
01/02/2002,2898.51
01/03/2002,3072.51
01/04/2002,2795.71
01/05/2002,2675.65
01/06/2002,2421.61
01/07/2002,2195.61
01/08/2002,2166.87
01/09/2002,1928.04
01/10/2002,2183.45
01/11/2002,2428.16
01/12/2002,2198.25
01/01/2003,2163.65
01/02/2003,2174.81
01/03/2003,2167.33
01/04/2003,2372.18
01/05/2003,2588.57
01/06/2003,2630.56
01/07/2003,2809
01/08/2003,2920.26
01/09/2003,2873.4
01/10/2003,3108.93
01/11/2003,3163.86
01/12/2003,3235.44
01/01/2004,3322.37
01/02/2004,3245.68
01/03/2004,3168.82
01/04/2004,3041.52
01/05/2004,3127.13
01/06/2004,3212.98
01/07/2004,2966.93
01/08/2004,2887.66
01/09/2004,2974.25
01/10/2004,3080.98
01/11/2004,3268.93
01/12/2004,3402.39
01/01/2005,3219.42
01/02/2005,3184.27
01/03/2005,3078.81
01/04/2005,2940.12
01/05/2005,3166.44
01/06/2005,3149.21
01/07/2005,3329.68
01/08/2005,3262.57
01/09/2005,3223.23
01/10/2005,3169.85
01/11/2005,3364.86
01/12/2005,3336.65
01/01/2006,3461.04
01/02/2006,3417.52
01/03/2006,3486.29
01/04/2006,3430.44
01/05/2006,3202.95
01/06/2006,3186.46
01/07/2006,3059.82
01/08/2006,3188.28
01/09/2006,3313.12
01/10/2006,3490.9
01/11/2006,3591.72
01/12/2006,3562.55
01/01/2007,3624.44
01/02/2007,3534.83
01/03/2007,3511.38
01/04/2007,3636.13
01/05/2007,3729.67
01/06/2007,3720.02
01/07/2007,3638.62
01/08/2007,3717.99
01/09/2007,3857.74
01/10/2007,4074.25
01/11/2007,3767.92
01/12/2007,3758.28
01/01/2008,3369.7
01/02/2008,3193.7
01/03/2008,3177.07
01/04/2008,3344.14
01/05/2008,3466.13
01/06/2008,3120.75
01/07/2008,3146.47
01/08/2008,3217.46
01/09/2008,2847.05
01/10/2008,2366.31
01/11/2008,2151.33
01/12/2008,2233.07
01/01/2009,2081.75
01/02/2009,1933.11
01/03/2009,2140.03
01/04/2009,2397.35
01/05/2009,2469.87
01/06/2009,2532.36
01/07/2009,2734.29
01/08/2009,2770.49
01/09/2009,2924.69
01/10/2009,2816.12
01/11/2009,2950.97
01/12/2009,3129.16
01/01/2010,2950.46
01/02/2010,3075.37
01/03/2010,3280.41
01/04/2010,3361.99
01/05/2010,3080.86
01/06/2010,2881.22
01/07/2010,3079.92
01/08/2010,2883.54
01/09/2010,3228.43
01/10/2010,3412.59
01/11/2010,3400.09
01/12/2010,3602.6
01/01/2011,3650.51
01/02/2011,3742.15
01/03/2011,3704.39
01/04/2011,3804.57
01/05/2011,3736.93
01/06/2011,3658.27
01/07/2011,3632.91
01/08/2011,3389.41
01/09/2011,3169
01/10/2011,3530
01/11/2011,3448.37
01/12/2011,3436.19
01/01/2012,3694.57
01/02/2012,3880.69
01/03/2012,4012.86
01/04/2012,3941.99
01/05/2012,3661.41
01/06/2012,3806.76
01/07/2012,3818.44
01/08/2012,3962.51
01/09/2012,4010.59
01/10/2012,3831.7
01/11/2012,3892.24
01/12/2012,3916.3
01/01/2013,4062.77
01/02/2013,4051.36
01/03/2013,4179.16
01/04/2013,4260.85
01/05/2013,4416.65
01/06/2013,4339.14
01/07/2013,4620
01/08/2013,4569.9
01/09/2013,4793.55
01/10/2013,4997.63
01/11/2013,5184.48
01/12/2013,5333.51
01/01/2014,5224.24
01/02/2014,5462.7
01/03/2014,5290.73
01/04/2014,5167.89
01/05/2014,5307.52
01/06/2014,5505.82
01/07/2014,5462.21
01/08/2014,5734.5
01/09/2014,5621.23
01/10/2014,5806.95
01/11/2014,6042.25
01/12/2014,6005.31
01/01/2015,5905.3
01/02/2015,6293.76
01/03/2015,6180.01
01/04/2015,6216.31
01/05/2015,6347.68
01/06/2015,6223.61
01/07/2015,6394.97
01/08/2015,5965.86
01/09/2015,5779.82
01/10/2015,6327.3
01/11/2015,6406.27
01/12/2015,6304.33
01/01/2016,5799.74
01/02/2016,5724.79
01/03/2016,6087.31
01/04/2016,5940.55
01/05/2016,6130.63
01/06/2016,5980.7
01/07/2016,6385.55
01/08/2016,6443.54
01/09/2016,6549.7
01/10/2016,6393.01
01/11/2016,6569.42
01/12/2016,6637.39
01/01/2017,6883.73
01/02/2017,7118.69
01/03/2017,7218.23
01/04/2017,7365.99
01/05/2017,7537.4
01/06/2017,7460.61
01/07/2017,7719.31
01/08/2017,7797.96
01/09/2017,7834.13
01/10/2017,8120.3
01/11/2017,8296.88
01/12/2017,8339.3
01/01/2018,8901.19
01/02/2018,8698.52
01/03/2018,8426.68
01/04/2018,8394.73
01/05/2018,8804.03
01/06/2018,8869.66
01/07/2018,9060.38
01/08/2018,9577.37
01/09/2018,9486.65
01/10/2018,8599.04
01/11/2018,8657.37
01/12/2018,7862.81
01/01/2019,8614.3
01/02/2019,8873.32
01/03/2019,9051.03
01/04/2019,9431.13
01/05/2019,8668.01
01/06/2019,9303.25
01/07/2019,9483.48
01/08/2019,9236.94
01/09/2019,9271.24
01/10/2019,9594.26
01/11/2019,10025.95
01/12/2019,10399.25
01/01/2020,10560.18
01/02/2020,9861.04
01/03/2020,8878.21
01/04/2020,10320.77
01/05/2020,11017.74
01/06/2020,11617.87
01/07/2020,12346.32
01/08/2020,13482.9
01/09/2020,12775.63
01/10/2020,12471.95
01/11/2020,13955.36
01/12/2020,14731.3
01/01/2021,14874.45
01/02/2021,14933.74
01/03/2021,14889.48
01/04/2021,15568.39
01/05/2021,15206.11
01/06/2021,15896.33
01/07/2021,16007.89
01/08/2021,16602.05
01/09/2021,15676.71
01/10/2021,16676.27
01/11/2021,16640.87
01/12/2021,16708.83
01/01/2022,15080.03
01/02/2022,14425.22
01/03/2022,14732.46
01/04/2022,12704.68
01/05/2022,12310.94
01/06/2022,11083.88
01/07/2022,12452.64
01/08/2022,11875.28
01/09/2022,10607.35
01/10/2022,10977.16
01/11/2022,11468
01/12/2022,10810.53
