tract,cz,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_percent,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_percent,jail_pooled_pooled_p25_se,pooled_pooled_count
880505,24300,0.39862013,39.9%,0.016909871,0.010524906,1.1%,0.005771808,375.41348
880507,24300,0.41757539,41.8%,0.021308251,0.030555274,3.1%,0.015574546,460.42358
880601,24300,0.53684795,53.7%,0.049941521,0.018803891,1.9%,0.026219396,70.92778
880602,24300,0.47357494,47.4%,0.024378378,0.013224045,1.3%,0.008115274,305.49948
880701,24300,0.501522,50.2%,0.028156908,0.021916326,2.2%,0.013575813,304.27533
880702,24300,0.33931339,33.9%,0.013503193,0.056469999,5.6%,0.016936202,403.39627
880901,24300,0.48288107,48.3%,0.032850217,0.00162066,0.2%,0.006169438,205.57362
880903,24300,0.37223893,37.2%,0.026692336,0.00193968,0.2%,0.008968281,183.09038
880905,24300,0.38060305,38.1%,0.033977695,0.057453256,5.7%,0.036796343,150.3645
881001,24300,0.48595357,48.6%,0.03117316,-0.000940781,-0.1%,0.004474943,253.63788
881002,24300,0.63136011,63.1%,0.043282706,-0.011403247,-1.1%,0.011122169,156.87071
881005,24300,0.54629159,54.6%,0.038322568,0.002676885,0.3%,0.005330036,143.02563
881006,24300,0.48919451,48.9%,0.043757197,-0.006616908,-0.7%,0.006687162,87.745804
881007,24300,0.50943482,50.9%,0.045805916,0.004392943,0.4%,0.006321289,72.043465
881009,24300,0.50595307,50.6%,0.045596704,-0.001808013,-0.2%,0.006716658,115.80051
881010,24300,0.52611953,52.6%,0.046234302,-0.002441221,-0.2%,0.008899148,81.491188
881011,24300,0.55924153,55.9%,0.052234326,0.019850558,2.0%,0.027833363,91.113945
881012,24300,0.44839793,44.8%,0.044055533,-0.004413489,-0.4%,0.005959151,107.61102
881105,24300,0.50442272,50.4%,0.042137772,0.037584215,3.8%,0.034335408,86.796364
881107,24300,0.4958373,49.6%,0.03527116,0.00187528,0.2%,0.005439423,94.316086
881108,24300,0.51423371,51.4%,0.040586192,-0.00430302,-0.4%,0.004730954,145.25548
881109,24300,0.4770484,47.7%,0.03289105,0.019849738,2.0%,0.015023875,144.08737
881111,24300,0.49552998,49.6%,0.042506844,0.017038794,1.7%,0.015181012,72.582031
881112,24300,0.4571844,45.7%,0.043898962,-0.002116709,-0.2%,0.007127787,181.33998
881113,24300,0.53132862,53.1%,0.034869161,-0.004934635,-0.5%,0.003860646,121.11032
881115,24300,0.49225417,49.2%,0.032526009,0.025522105,2.6%,0.018052077,217.77446
881116,24300,0.56483233,56.5%,0.072853513,-0.019655446,-2.0%,0.01626304,54.640484
881200,24300,0.28733909,28.7%,0.010479439,0.077761948,7.8%,0.013161835,1132.5911
881301,24300,0.35867018,35.9%,0.01300928,0.048117395,4.8%,0.013094855,880.11688
881302,24300,0.40694386,40.7%,0.017350273,0.013953663,1.4%,0.009699827,476.6597
881401,24300,0.37804201,37.8%,0.022214938,0.007850934,0.8%,0.007685586,284.48734
881402,24300,0.44905421,44.9%,0.027969146,0.022292277,2.2%,0.014125048,211.66577
881500,24300,0.44543526,44.5%,0.032964967,0.000493221,0.0%,0.006167136,132.13191
881601,24300,0.4356207,43.6%,0.045415517,0.044101734,4.4%,0.037575357,64.922348
881603,24300,0.33103877,33.1%,0.016721414,0.047223385,4.7%,0.016633106,303.93085
881604,24300,0.33953658,34.0%,0.031014534,0.03142349,3.1%,0.024200795,143.14001
881700,24300,0.49556562,49.6%,0.036702793,0.069508046,7.0%,0.040016294,118.08242
881800,24300,0.39249939,39.2%,0.019223027,0.021208437,2.1%,0.010317042,471.83615
881900,24300,0.33852482,33.9%,0.011198073,0.038981955,3.9%,0.01258838,976.03845
882000,24300,0.31928369,31.9%,0.01134578,0.058027316,5.8%,0.015556849,775.51685
882100,24300,0.37739068,37.7%,0.014291431,0.029042002,2.9%,0.011240141,737.24756
882200,24300,0.38841021,38.8%,0.013528413,0.0333969,3.3%,0.010322555,824.8515
882300,24300,0.34144315,34.1%,0.016343294,0.029325422,2.9%,0.012681229,497.42838
882400,24300,0.33416012,33.4%,0.010830478,0.052060299,5.2%,0.014423901,953.97235
882500,24300,0.31364891,31.4%,0.011728319,0.048742533,4.9%,0.013598826,861.80811
882601,24300,0.42817339,42.8%,0.028955903,0.029946372,3.0%,0.019980097,234.36053
882602,24300,0.40364596,40.4%,0.018253107,0.043974813,4.4%,0.015562161,425.12564
882701,24300,0.52423644,52.4%,0.031309325,0.012314414,1.2%,0.011319363,194.61244
882702,24300,0.3356947,33.6%,0.017181698,0.082720049,8.3%,0.020331051,350.88553
882801,24300,0.40771663,40.8%,0.032349102,0.047783442,4.8%,0.027913934,134.57108
882802,24300,0.38601553,38.6%,0.019283723,0.056509044,5.7%,0.021055197,255.60431
882900,24300,0.37169623,37.2%,0.02496602,0.045877703,4.6%,0.021735735,241.77609
883000,24300,0.34774444,34.8%,0.017433519,0.039371151,3.9%,0.016360382,454.96667
883100,24300,0.33502614,33.5%,0.014007129,0.077069327,7.7%,0.016686296,562.34143
883206,24300,0.43406394,43.4%,0.025457531,0.032448329,3.2%,0.017692123,230.86967
883208,24300,0.42597637,42.6%,0.033045433,0.035688065,3.6%,0.022962106,193.89638
883209,24300,0.45411649,45.4%,0.040151007,0.013401948,1.3%,0.012057637,123.2947
883210,24300,0.4258987,42.6%,0.04215442,0.019279635,1.9%,0.020768248,108.19646
883211,24300,0.39087471,39.1%,0.029382126,-0.007781707,-0.8%,0.00454582,257.3703
883212,24300,0.45251328,45.3%,0.050792713,0.008630549,0.9%,0.017719354,88.934074
883213,24300,0.46463275,46.5%,0.045007672,0.050994828,5.1%,0.049752034,79.330421
883214,24300,0.39733669,39.7%,0.072522089,0.028896272,2.9%,0.052550647,25.874521
883215,24300,0.4393414,43.9%,0.036393762,0.002285153,0.2%,0.009279687,304.69339
883216,24300,0.56402904,56.4%,0.052425105,-0.030222332,-3.0%,0.01616527,31.944248
883303,24300,0.45251143,45.3%,0.062413365,0.002151181,0.2%,0.011871822,43.19384
883304,24300,0.61919397,61.9%,0.050498325,-0.007509343,-0.8%,0.008585841,56.466579
883305,24300,0.46946758,46.9%,0.049832828,-0.021327116,-2.1%,0.010994979,57.631432
883306,24300,0.40619236,40.6%,0.044720173,0.029883286,3.0%,0.031515453,123.96468
883307,24300,0.46478444,46.5%,0.037168875,0.006542556,0.7%,0.008323045,150.82213
883401,24300,0.43905932,43.9%,0.025413031,0.024136338,2.4%,0.014578679,251.90117
883402,24300,0.37486145,37.5%,0.028369669,0.024281593,2.4%,0.018010482,161.72298
883504,24300,0.48103571,48.1%,0.033620015,0.003717176,0.4%,0.004678702,115.13523
883505,24300,0.52648509,52.6%,0.032148927,-0.001431739,-0.1%,0.003565838,227.70604
883507,24300,0.52305382,52.3%,0.039720438,0.008252465,0.8%,0.009287627,123.41401
883509,24300,0.47962052,48.0%,0.037257273,0.018250983,1.8%,0.017219881,121.95686
883510,24300,0.55226845,55.2%,0.055108164,-0.031280216,-3.1%,0.014765759,70.006485
883511,24300,0.49012369,49.0%,0.029886423,0.005624981,0.6%,0.006423569,204.82674
883513,24300,0.53831029,53.8%,0.027204163,0.020242192,2.0%,0.012544767,221.55002
883514,24300,0.59496337,59.5%,0.043678079,-0.00504871,-0.5%,0.006446007,213.62447
883515,24300,0.5243907,52.4%,0.058311321,0.001337554,0.1%,0.013038113,42.971546
883516,24300,0.57953471,58.0%,0.044510212,0.023645347,2.4%,0.025579782,97.776482
883517,24300,0.49973297,50.0%,0.032947231,0.013851073,1.4%,0.012180095,163.54967
883519,24300,0.5559305,55.6%,0.032267775,0.010807095,1.1%,0.008990106,180.70628
883521,24300,0.52934831,52.9%,0.042284299,0.015143557,1.5%,0.015396704,114.89218
883522,24300,0.51609248,51.6%,0.052684765,0.004929709,0.5%,0.011652632,100.92763
883602,24300,0.48012903,48.0%,0.031041564,0.006759317,0.7%,0.007300035,202.21494
883603,24300,0.35757989,35.8%,0.022447165,0.031458799,3.1%,0.017500086,258.46033
883605,24300,0.33346003,33.3%,0.014469966,0.019714836,2.0%,0.011717071,711.64185
883606,24300,0.35289514,35.3%,0.01861104,0.053143565,5.3%,0.021338439,519.12427
883700,24300,0.43353093,43.4%,0.025743799,0.007802185,0.8%,0.007186306,253.18353
883803,24300,0.38601387,38.6%,0.015951324,0.022582835,2.3%,0.00966234,400.2984
883804,24300,0.40134358,40.1%,0.029517293,0.011966637,1.2%,0.010478882,174.56677
883806,24300,0.42768145,42.8%,0.036996547,0.012762114,1.3%,0.011011989,117.08877
883808,24300,0.40719068,40.7%,0.042885765,0.012161197,1.2%,0.014555517,98.495674
883809,24300,0.46071872,46.1%,0.030793741,0.042588882,4.3%,0.025378708,216.6226
883810,24300,0.50439018,50.4%,0.031382646,0.02284885,2.3%,0.014876931,144.14774
883811,24300,0.38740635,38.7%,0.027335623,0.015143092,1.5%,0.011001273,179.21889
883902,24300,0.53700387,53.7%,0.029525958,0.006177082,0.6%,0.006845716,197.14577
883903,24300,0.56826866,56.8%,0.045458339,0.015517732,1.6%,0.018031759,78.842316
883904,24300,0.52387512,52.4%,0.028631296,0.025903238,2.6%,0.016099071,200.49129
884003,24300,0.42922509,42.9%,0.023674283,0.000354466,0.0%,0.003901133,286.65585
884004,24300,0.38542551,38.5%,0.028462982,0.022126243,2.2%,0.015477944,190.9892
884005,24300,0.55155659,55.2%,0.052406412,-0.000877354,-0.1%,0.010409793,64.667641
884006,24300,0.47466695,47.5%,0.032537665,0.006360761,0.6%,0.008054626,158.25244
884101,24300,0.40313262,40.3%,0.039567411,0.05018286,5.0%,0.043078035,181.38596
884103,24300,0.49463129,49.5%,0.046598062,0.009999943,1.0%,0.017625317,42.609138
980100,24300,0.14482485,14.5%,0.097447813,,0.0%,,19.506699
