,date,temp,date2
155,2022-12-09 11:20:00+00:00,1,2022-12-09T11:20:00
156,2022-12-09 19:50:00+00:00,0,2022-12-09T19:50:00
157,2022-12-10 01:20:00+00:00,1,2022-12-10T01:20:00
158,2022-12-10 01:50:00+00:00,1,2022-12-10T01:50:00
159,2022-12-10 08:50:00+00:00,0,2022-12-10T08:50:00
160,2022-12-10 12:50:00+00:00,3,2022-12-10T12:50:00
161,2022-12-10 14:50:00+00:00,3,2022-12-10T14:50:00
162,2022-12-10 17:50:00+00:00,1,2022-12-10T17:50:00
163,2022-12-10 18:50:00+00:00,1,2022-12-10T18:50:00
164,2022-12-10 20:50:00+00:00,1,2022-12-10T20:50:00
165,2022-12-10 22:50:00+00:00,0,2022-12-10T22:50:00
166,2022-12-11 00:20:00+00:00,0,2022-12-11T00:20:00
167,2022-12-11 04:50:00+00:00,0,2022-12-11T04:50:00
168,2022-12-11 07:50:00+00:00,0,2022-12-11T07:50:00
169,2022-12-11 08:20:00+00:00,1,2022-12-11T08:20:00
170,2022-12-11 08:50:00+00:00,0,2022-12-11T08:50:00
171,2022-12-11 17:20:00+00:00,0,2022-12-11T17:20:00
172,2022-12-11 18:50:00+00:00,0,2022-12-11T18:50:00
173,2022-12-11 22:20:00+00:00,0,2022-12-11T22:20:00
174,2022-12-13 02:50:00+00:00,-1,2022-12-13T02:50:00
175,2022-12-13 06:50:00+00:00,-2,2022-12-13T06:50:00
176,2022-12-13 11:20:00+00:00,-1,2022-12-13T11:20:00
177,2022-12-13 12:20:00+00:00,0,2022-12-13T12:20:00
178,2022-12-13 13:20:00+00:00,0,2022-12-13T13:20:00
179,2022-12-13 17:50:00+00:00,-1,2022-12-13T17:50:00
180,2022-12-13 20:20:00+00:00,-2,2022-12-13T20:20:00
181,2022-12-13 20:50:00+00:00,-2,2022-12-13T20:50:00
182,2022-12-13 21:20:00+00:00,-2,2022-12-13T21:20:00
183,2022-12-03 05:50:00+00:00,4,2022-12-03T05:50:00
184,2022-12-03 08:50:00+00:00,4,2022-12-03T08:50:00
185,2022-12-03 17:20:00+00:00,4,2022-12-03T17:20:00
186,2022-12-03 17:50:00+00:00,4,2022-12-03T17:50:00
187,2022-12-03 18:50:00+00:00,4,2022-12-03T18:50:00
188,2022-12-01 00:50:00+00:00,1,2022-12-01T00:50:00
189,2022-12-01 01:20:00+00:00,2,2022-12-01T01:20:00
190,2022-12-01 02:20:00+00:00,1,2022-12-01T02:20:00
191,2022-12-01 07:50:00+00:00,1,2022-12-01T07:50:00
192,2022-12-01 11:50:00+00:00,3,2022-12-01T11:50:00
193,2022-12-01 12:50:00+00:00,4,2022-12-01T12:50:00
194,2022-12-01 13:20:00+00:00,4,2022-12-01T13:20:00
195,2022-12-01 14:20:00+00:00,4,2022-12-01T14:20:00
196,2022-12-01 16:50:00+00:00,3,2022-12-01T16:50:00
197,2022-12-01 21:50:00+00:00,1,2022-12-01T21:50:00
198,2022-12-02 00:20:00+00:00,0,2022-12-02T00:20:00
199,2022-12-02 03:20:00+00:00,0,2022-12-02T03:20:00
200,2022-12-02 05:50:00+00:00,0,2022-12-02T05:50:00
201,2022-12-02 09:20:00+00:00,0,2022-12-02T09:20:00
202,2022-12-02 14:50:00+00:00,3,2022-12-02T14:50:00
203,2022-12-02 16:20:00+00:00,3,2022-12-02T16:20:00
204,2022-12-04 08:20:00+00:00,2,2022-12-04T08:20:00
205,2022-12-04 10:50:00+00:00,2,2022-12-04T10:50:00
206,2022-12-04 13:20:00+00:00,3,2022-12-04T13:20:00
207,2022-12-04 16:20:00+00:00,3,2022-12-04T16:20:00
208,2022-12-04 17:20:00+00:00,4,2022-12-04T17:20:00
