,date, value,moving_average
382,01/12/2002,2198.25,2183.3966666666665
383,01/01/2003,2163.65,2178.0699999999997
384,01/02/2003,2174.81,2179.3933333333334
385,01/03/2003,2167.33,2219.275
386,01/04/2003,2372.18,2250.73
387,01/05/2003,2588.57,2277.465
388,01/06/2003,2630.56,2349.516666666667
389,01/07/2003,2809.0,2457.0750000000003
390,01/08/2003,2920.26,2581.3166666666666
391,01/09/2003,2873.4,2698.995
392,01/10/2003,3108.93,2821.786666666667
393,01/11/2003,3163.86,2917.668333333333
394,01/12/2003,3235.44,3018.4816666666666
395,01/01/2004,3322.37,3104.0433333333335
396,01/02/2004,3245.68,3158.28
397,01/03/2004,3168.82,3207.5166666666664
398,01/04/2004,3041.52,3196.2816666666663
399,01/05/2004,3127.13,3190.16
400,01/06/2004,3212.98,3186.4166666666665
401,01/07/2004,2966.93,3127.1766666666667
402,01/08/2004,2887.66,3067.5066666666667
403,01/09/2004,2974.25,3035.0783333333334
404,01/10/2004,3080.98,3041.655
405,01/11/2004,3268.93,3065.2883333333334
406,01/12/2004,3402.39,3096.8566666666666
407,01/01/2005,3219.42,3138.9383333333335
408,01/02/2005,3184.27,3188.3733333333334
409,01/03/2005,3078.81,3205.7999999999997
410,01/04/2005,2940.12,3182.3233333333337
411,01/05/2005,3166.44,3165.241666666667
412,01/06/2005,3149.21,3123.045
413,01/07/2005,3329.68,3141.4216666666666
414,01/08/2005,3262.57,3154.471666666667
415,01/09/2005,3223.23,3178.5416666666665
416,01/10/2005,3169.85,3216.83
417,01/11/2005,3364.86,3249.9
418,01/12/2005,3336.65,3281.14
419,01/01/2006,3461.04,3303.0333333333333
420,01/02/2006,3417.52,3328.8583333333336
421,01/03/2006,3486.29,3372.7016666666664
422,01/04/2006,3430.44,3416.133333333333
423,01/05/2006,3202.95,3389.148333333334
424,01/06/2006,3186.46,3364.116666666667
425,01/07/2006,3059.82,3297.2466666666664
426,01/08/2006,3188.28,3259.0399999999995
427,01/09/2006,3313.12,3230.1783333333333
428,01/10/2006,3490.9,3240.2549999999997
429,01/11/2006,3591.72,3305.0499999999997
430,01/12/2006,3562.55,3367.731666666667
431,01/01/2007,3624.44,3461.8349999999996
432,01/02/2007,3534.83,3519.593333333333
433,01/03/2007,3511.38,3552.6366666666668
434,01/04/2007,3636.13,3576.8416666666667
435,01/05/2007,3729.67,3599.8333333333335
436,01/06/2007,3720.02,3626.078333333333
437,01/07/2007,3638.62,3628.441666666667
438,01/08/2007,3717.99,3658.968333333333
439,01/09/2007,3857.74,3716.695
440,01/10/2007,4074.25,3789.715
441,01/11/2007,3767.92,3796.09
442,01/12/2007,3758.28,3802.466666666667
443,01/01/2008,3369.7,3757.646666666666
444,01/02/2008,3193.7,3670.265
445,01/03/2008,3177.07,3556.8199999999997
446,01/04/2008,3344.14,3435.1349999999998
447,01/05/2008,3466.13,3384.8366666666666
448,01/06/2008,3120.75,3278.5816666666665
449,01/07/2008,3146.47,3241.376666666667
450,01/08/2008,3217.46,3245.3366666666666
451,01/09/2008,2847.05,3190.3333333333335
452,01/10/2008,2366.31,3027.361666666667
453,01/11/2008,2151.33,2808.228333333333
454,01/12/2008,2233.07,2660.2816666666668
455,01/01/2009,2081.75,2482.8283333333334
456,01/02/2009,1933.11,2268.77
457,01/03/2009,2140.03,2150.9333333333334
458,01/04/2009,2397.35,2156.106666666667
459,01/05/2009,2469.87,2209.1966666666667
460,01/06/2009,2532.36,2259.0783333333334
461,01/07/2009,2734.29,2367.8349999999996
462,01/08/2009,2770.49,2507.398333333333
463,01/09/2009,2924.69,2638.1749999999997
464,01/10/2009,2816.12,2707.97
465,01/11/2009,2950.97,2788.153333333333
466,01/12/2009,3129.16,2887.6200000000003
467,01/01/2010,2950.46,2923.648333333333
468,01/02/2010,3075.37,2974.4616666666666
469,01/03/2010,3280.41,3033.748333333333
470,01/04/2010,3361.99,3124.726666666667
471,01/05/2010,3080.86,3146.375
472,01/06/2010,2881.22,3105.0516666666663
473,01/07/2010,3079.92,3126.6283333333336
474,01/08/2010,2883.54,3094.6566666666663
475,01/09/2010,3228.43,3085.9933333333333
476,01/10/2010,3412.59,3094.4266666666667
477,01/11/2010,3400.09,3147.6316666666667
478,01/12/2010,3602.6,3267.861666666666
479,01/01/2011,3650.51,3362.9600000000005
480,01/02/2011,3742.15,3506.061666666667
481,01/03/2011,3704.39,3585.388333333334
482,01/04/2011,3804.57,3650.7183333333337
483,01/05/2011,3736.93,3706.8583333333336
484,01/06/2011,3658.27,3716.136666666667
485,01/07/2011,3632.91,3713.2033333333334
486,01/08/2011,3389.41,3654.4133333333334
487,01/09/2011,3169.0,3565.181666666667
488,01/10/2011,3530.0,3519.42
489,01/11/2011,3448.37,3471.3266666666664
490,01/12/2011,3436.19,3434.313333333333
491,01/01/2012,3694.57,3444.5899999999997
492,01/02/2012,3880.69,3526.47
493,01/03/2012,4012.86,3667.1133333333332
494,01/04/2012,3941.99,3735.778333333333
495,01/05/2012,3661.41,3771.285
496,01/06/2012,3806.76,3833.046666666667
497,01/07/2012,3818.44,3853.691666666667
498,01/08/2012,3962.51,3867.3283333333334
499,01/09/2012,4010.59,3866.9499999999994
500,01/10/2012,3831.7,3848.568333333333
501,01/11/2012,3892.24,3887.0400000000004
502,01/12/2012,3916.3,3905.2966666666666
503,01/01/2013,4062.77,3946.0183333333334
504,01/02/2013,4051.36,3960.8266666666664
505,01/03/2013,4179.16,3988.921666666667
506,01/04/2013,4260.85,4060.4466666666667
507,01/05/2013,4416.65,4147.848333333333
508,01/06/2013,4339.14,4218.321666666667
509,01/07/2013,4620.0,4311.193333333334
510,01/08/2013,4569.9,4397.616666666666
